body_site_a,body_site_b,wavelength_nm,reference_loading_a,p2_5_a,p50_a,p97_5_a,p99_a,reference_loading_b,p2_5_b,p50_b,p97_5_b,p99_b,absolute_loading_difference,relative_absolute_difference
12,7,400,0.08739392819686327,0.08393745203787424,0.08804412352683319,0.09206839644895075,0.09257551145366598,0.12649332965860996,0.12268260484192609,0.12646552507048053,0.13019926676367677,0.13086489117169584,0.03909940146174669,0.36560758087016787
12,7,410,0.07577258659813892,0.07280203267894012,0.07611949787560848,0.07969618971399313,0.07991140258427094,0.1237646160323215,0.12058155102692002,0.12372572403594424,0.12711291471319566,0.127439620426358,0.047992029434182584,0.481033399301112
12,7,420,0.06828617811816672,0.06522169545088555,0.06854316847160491,0.07180487895877219,0.07187902385549366,0.1210161853929641,0.1181953686451909,0.12098617867341892,0.124053062562452,0.12426941768621966,0.05273000727479739,0.5570982453338138
12,7,430,0.06743289310856354,0.06366366447298329,0.06763426626205192,0.07136887792771844,0.07161840912691632,0.12328730496015566,0.12085980219197295,0.12329669581147187,0.12604332785366829,0.12637748827756604,0.05585441185159212,0.5857209925030278
12,7,440,0.0732552541431187,0.0683857044873667,0.07351104965291637,0.07748677021151462,0.07819027161890421,0.13983000991082373,0.13739225508701228,0.13990632209571385,0.1426244635084766,0.14293063781682191,0.06657475576770502,0.6248649437424416
12,7,450,0.08476565140390012,0.07919406610329151,0.08500447299907327,0.0897648624983332,0.09118781274379731,0.1651498379522736,0.1623710583237705,0.16522630230417543,0.16792038528540243,0.16807195173296258,0.08038418654837347,0.643290952117112
12,7,460,0.09366626087405716,0.08739058222849341,0.09387615398318283,0.0998139147106012,0.10113641641036658,0.18095292128533758,0.17817644497992577,0.18096883343777315,0.18363464836317192,0.1842713858180996,0.08728666041128041,0.6356923775311326
12,7,470,0.10123445990134662,0.09462553565885311,0.10144224711819022,0.10802751155583559,0.10885443407990514,0.18751822906258353,0.18478042284068072,0.18754227004170654,0.19015990294964524,0.1906479995114305,0.08628376916123691,0.5976309309591582
12,7,480,0.10383419479228055,0.09669040849118368,0.1038999527198374,0.11114835845976802,0.11152291078824322,0.19001540594861616,0.18741360016778996,0.19002685708580658,0.1926276736944842,0.19294470457877125,0.0861812111563356,0.5865668079115499
12,7,490,0.1077074215161334,0.1000496683864575,0.10763804076924277,0.11500685668491335,0.11613437092769667,0.19231459492894035,0.18994029876372903,0.1922996383392775,0.19472634186958115,0.19494972557807622,0.08460717341280695,0.5640064313633218
12,7,500,0.11328435235200558,0.10555328287097097,0.1132547830848549,0.1203417369898664,0.121396128557008,0.1955683989689054,0.19353733073174925,0.19558758932175552,0.19763468600025702,0.19805019920581748,0.08228404661689982,0.5328367402588118
12,7,510,0.11775539986176549,0.11041873205195993,0.1175986593639389,0.12434261938652624,0.12579523212858995,0.19696736124895795,0.1953460177216874,0.19696982507930377,0.19875394332394097,0.19908045471673863,0.07921196138719246,0.5033761213052188
12,7,520,0.11154305166275154,0.10367658794893028,0.11119371510652593,0.11870814700048288,0.11963466096512332,0.19357754471883962,0.19211268018000716,0.19363191342166772,0.19500628998194364,0.19534774410537983,0.08203449305608808,0.5377184892067645
12,7,530,0.09807085428170119,0.08884059313804454,0.09769296843011596,0.10575873624170588,0.10795465835343016,0.1857587500731713,0.18441007345921637,0.1858976429780849,0.1872267696172847,0.18754438801269543,0.08768789579147011,0.6178911180937549
12,7,540,0.08819414891737679,0.07812280397100091,0.08763443079793141,0.09618235807147026,0.09845699288368889,0.17704822200680154,0.17562413519746378,0.177197429765371,0.17859533210961281,0.17884213530530907,0.08885407308942475,0.6699840057969049
12,7,550,0.08875617559885095,0.0787480675179581,0.08820598747883107,0.09685893991758748,0.09866078043803099,0.1730254427429131,0.17163542380201005,0.17317365762489442,0.17462012769646537,0.17479665558877508,0.08426926714406215,0.6438134784089079
12,7,560,0.09117980205149176,0.08095980169665133,0.0905512148562413,0.0994605827300761,0.10123291056824198,0.17183866172282075,0.17041745128544883,0.17195902950665942,0.1734592661192469,0.17388837752708505,0.08065885967132899,0.6133323000512977
12,7,570,0.08332822277449616,0.07217840380525166,0.08262209282827582,0.09237135102724427,0.09454572822896011,0.16774627053916807,0.16614575642197674,0.16786697914582183,0.1698534195264575,0.17000634990795638,0.08441804776467192,0.6724541919852409
12,7,580,0.08444436461430722,0.07312283653837393,0.08356397929696141,0.09440741334238331,0.09591908912791253,0.16906277696784944,0.16738161389983522,0.16922840605491146,0.17132717519588886,0.17147521457137582,0.08461841235354221,0.6675820793483963
12,7,590,0.126133464575954,0.11667767405548506,0.12552758117294754,0.13453843291405718,0.13503632431587875,0.18625724409885946,0.18498009820152725,0.1863101475365278,0.18778797068911227,0.18797144209640604,0.06012377952290546,0.3849268102624138
12,7,600,0.18924427845343397,0.18516259824443795,0.18919488214937547,0.1935933066817185,0.19372758684503133,0.2040189597209868,0.20265507562610985,0.20405971376660245,0.20524292921656995,0.20542016204445496,0.014774681267552825,0.07513888832395736
12,7,610,0.23571791135595965,0.23348059333738258,0.23585927689692587,0.2385932915068985,0.23878538520643822,0.2118553042979356,0.2101709262332351,0.21179882512173512,0.2133926917268286,0.21349682744145143,0.023862607058024066,0.10663107721118338
12,7,620,0.2619483138139088,0.2587998316381252,0.262207062856076,0.26572934771715734,0.26599211899582165,0.21191530626646563,0.2098350544105875,0.2118080951936613,0.2137612391592843,0.2139678305896432,0.05003300754744319,0.21117049474680855
12,7,630,0.27612001508387524,0.27211444452167727,0.2763521610484281,0.28114163038178,0.2814036340191716,0.20875276285292055,0.20636318212737556,0.208625564616703,0.21093183187072137,0.2112351596866689,0.06736725223095469,0.2778759926165051
12,7,640,0.2831204384500863,0.2785893539007694,0.2833576805307133,0.28851663517771603,0.289060332667985,0.20383835500711603,0.20122823492987205,0.2037451070313673,0.20620956185688666,0.20662184662303706,0.07928208344297025,0.32562132364465934
12,7,650,0.28646955394360474,0.28132069602916177,0.286645694951723,0.29220447969423063,0.29245913032648474,0.1982370849523991,0.19547882489891133,0.19816141049364444,0.20089563630692026,0.20119381277507656,0.08823246899120563,0.36406544458383755
12,7,660,0.2885535443247069,0.2829567272222815,0.2886486751347296,0.29448344866915815,0.2948329753075181,0.1925478846938315,0.189515505215622,0.19242952263963245,0.19552959651181004,0.1956525925465827,0.09600565963087543,0.3991077716261617
