component,dominant_descriptor,median_absolute_correlation,p2_5_absolute_correlation,p97_5_absolute_correlation,p99_absolute_correlation,same_direction_site_fraction
1,broadband_mean_reflectance,0.9989197744903342,0.9923170686416485,0.9997602647699566,0.999814110775696,1.0
2,log_red_green_ratio_650_560,0.7993486872051465,0.5421031328091562,0.8898640526700298,0.8920055710507466,0.8333333333333334
3,green_band_depth_560_vs_500_650,0.4606284868015983,0.26898029993371303,0.7163146370798184,0.7344958027802436,0.9166666666666666
