value,n,fraction
4,4112,0.2695332983744101
2,1805,0.1183141059255375
1,1501,0.09838751966439434
7,1494,0.09792868379653907
3,1326,0.08691662296801259
5,1159,0.07597011012060828
9,1062,0.06961195595175669
11,963,0.06312270582066072
8,941,0.06168065023597273
10,812,0.053224960671211324
6,81,0.005309386470896697
