group_key,n,within_group_rmse_mean,within_group_rmse_max
"[""10::10::1891""]",7,0.019183036989897102,0.029728086900388962
"[""10::10::1892""]",7,0.035744859493581235,0.07297012478581497
"[""10::10::1893""]",7,0.0209155900943411,0.042074384113753575
"[""10::10::1894""]",7,0.020720350617086547,0.03508680601807982
"[""10::10::1895""]",7,0.034009872751318865,0.07165176281995701
"[""10::10::1896""]",7,0.0231868308147203,0.04865452657145104
"[""10::10::1897""]",7,0.02676689318703019,0.060405566047177485
"[""10::10::1898""]",7,0.02886995328848654,0.05652603354852901
"[""10::10::1899""]",7,0.031113579360487746,0.04063384032542135
"[""10::10::1900""]",7,0.020612729735507453,0.028716566729676447
"[""10::10::1901""]",7,0.028986091730273864,0.05178405120482244
"[""10::10::1902""]",7,0.03110479866306205,0.05912111902648699
"[""10::10::1903""]",7,0.019724860784061948,0.031118524718327524
"[""10::10::1904""]",7,0.020834757160073943,0.025674640329003635
"[""10::10::1905""]",7,0.024167636352830788,0.04709138091712779
"[""10::10::1906""]",7,0.0269088254267873,0.0426799150435397
"[""10::10::1907""]",7,0.032250624698775675,0.03938982376111289
"[""10::10::1908""]",7,0.021757060375229984,0.051081714281177804
"[""10::10::1909""]",7,0.022260992628750576,0.06056387794212877
"[""10::10::1910""]",7,0.02589414159402334,0.04734204741651851
"[""10::10::1911""]",7,0.02468340696512867,0.04345431878346298
"[""10::10::1912""]",7,0.023664256759972,0.03471448294116282
"[""10::10::1913""]",7,0.02331468017148341,0.03575324197953802
"[""10::10::1914""]",7,0.02641737865407276,0.055761943931742025
"[""10::10::1915""]",7,0.03626429669743187,0.050222232919239454
"[""10::10::1916""]",7,0.021428123517428187,0.0304238070954806
"[""10::10::1917""]",7,0.024035001226746486,0.0416866604125692
"[""10::10::1918""]",7,0.02679190018653286,0.041503096246244285
"[""10::10::1919""]",7,0.017129533682137092,0.02681579693219324
"[""10::10::1920""]",7,0.02264423037465906,0.04727476880573068
"[""10::10::1921""]",7,0.03171531762776743,0.0497630683905431
"[""10::10::1922""]",7,0.023230068639208425,0.047101211391524164
"[""10::10::1923""]",7,0.031088651999054442,0.0784272400481288
"[""10::10::1924""]",7,0.016839402492332376,0.03023069365247311
"[""10::10::1925""]",7,0.02002924542840741,0.03976041398274168
"[""10::10::1926""]",7,0.016853865289951205,0.02604790252220803
"[""10::10::1927""]",7,0.019150795657400497,0.024518798661862184
"[""10::10::1928""]",7,0.0324561866341239,0.058880676360893315
"[""10::10::1929""]",7,0.024997608151337926,0.03968205767244383
"[""10::10::1930""]",7,0.02651192808248073,0.06894713257410286
"[""10::10::1931""]",7,0.025619868492231603,0.03875673281354498
"[""10::10::1932""]",7,0.02867092450277105,0.054332103875340015
"[""10::10::1933""]",7,0.025730751428011376,0.04299696079098331
"[""10::10::1934""]",7,0.02241218978143524,0.043292356184617624
"[""10::10::1935""]",7,0.02796291399903911,0.05055686751760725
"[""10::10::1936""]",7,0.027674316399540988,0.05472927307336455
"[""10::10::1937""]",7,0.025445654006852694,0.03971285206111715
"[""10::10::1938""]",7,0.029204002264334606,0.05972728129045312
"[""10::10::1939""]",7,0.03141253324820876,0.05170922735400701
"[""10::10::1940""]",7,0.017045053922148067,0.03096899222226441
"[""10::10::1941""]",7,0.028260586083004795,0.06619990030601755
"[""10::10::1942""]",7,0.02507564591695416,0.03981410440797437
"[""10::10::1943""]",7,0.024902098386621475,0.05007917404939289
"[""10::10::1944""]",7,0.026751999792696313,0.041611215460973565
"[""10::10::1945""]",7,0.03036152915537396,0.04158524308449229
"[""10::10::1946""]",7,0.023223926674490112,0.035943022810311816
"[""10::10::1947""]",7,0.023361877146399725,0.04249445675037562
"[""10::10::1948""]",7,0.02399515927592686,0.04995414526704889
"[""10::10::1949""]",7,0.0157960126331233,0.02815618155181327
"[""10::10::1950""]",7,0.026047268794969415,0.034864230317457216
"[""10::10::1951""]",7,0.02662989822039866,0.038748623199648446
"[""10::10::1952""]",7,0.02698124258778586,0.061220532296936206
"[""10::10::1953""]",7,0.02108559099013487,0.04121770417660983
"[""10::10::1954""]",7,0.02770135425350275,0.04418821391330414
"[""10::10::1955""]",7,0.02253551669560048,0.05239712934812015
"[""10::10::1956""]",7,0.02554555548235837,0.05042659569764472
"[""10::10::1957""]",7,0.029574204365271084,0.07847680062082915
"[""10::10::1958""]",7,0.030728827141345182,0.06627793827542326
"[""10::10::1959""]",7,0.03266970033711528,0.06273686119394824
"[""10::10::1960""]",7,0.024456871320449332,0.04568564857639598
"[""10::10::1961""]",7,0.023391841905742387,0.038922709489735974
"[""10::10::1962""]",7,0.021867002679995303,0.04191516731235735
"[""10::10::1963""]",7,0.033106687818032596,0.04778787276506601
"[""10::10::1964""]",7,0.019843902877669746,0.029522654850816215
"[""10::10::1965""]",7,0.03488941754066775,0.0533664447564021
"[""10::10::1966""]",7,0.024447704297732662,0.047337216234336454
"[""10::10::1967""]",7,0.023012539786968718,0.04262768180524873
"[""10::10::1968""]",7,0.020154423167616727,0.043882313136254354
"[""10::10::1969""]",7,0.023897223606856425,0.046985799403885004
"[""10::10::1970""]",7,0.024366411681832015,0.04254952766068579
"[""10::10::1971""]",7,0.02667221394429495,0.04311575742709595
"[""10::10::1972""]",7,0.024702268225066822,0.03695104460186736
"[""10::10::1973""]",7,0.028846395254694342,0.047485969793076135
"[""10::10::1974""]",7,0.019560630469929834,0.04527122963923179
"[""10::10::1975""]",7,0.019117319116144005,0.037612711720232415
"[""10::10::1976""]",7,0.02095913904537738,0.030687747295971114
"[""10::10::1977""]",7,0.0184112610906469,0.03197479308802052
"[""10::10::1978""]",7,0.029109505501445043,0.04908711519542933
"[""10::10::1979""]",7,0.02739976022976746,0.04162721714663704
"[""10::10::1980""]",7,0.028766972203347268,0.06802804411449333
"[""10::10::1981""]",7,0.03158419652644102,0.04204666472484128
"[""10::10::1982""]",7,0.02619967859035206,0.043791198865649354
"[""10::10::1983""]",7,0.02076481990734646,0.03825641632966179
"[""10::10::1984""]",7,0.024537815731551615,0.050340274587613136
"[""10::10::1985""]",7,0.02494556209866394,0.05386527942791413
"[""10::10::1986""]",7,0.020935258330350568,0.03348085664503404
"[""10::10::1987""]",7,0.011739255142008865,0.0299093312769196
"[""10::10::1988""]",7,0.03679725679561452,0.061604227794521654
"[""10::10::1989""]",7,0.04485417967544488,0.07602832945373723
"[""10::10::1990""]",7,0.021632964942463587,0.026771956897147047
"[""10::10::1991""]",7,0.02138405882654127,0.04233093912077323
"[""10::10::1992""]",7,0.021189154019895788,0.03601471957870995
"[""10::10::1993""]",7,0.023247642163858915,0.040608487245152286
"[""10::10::1994""]",7,0.024723144123032084,0.038361221110073625
"[""10::10::1995""]",7,0.026478640670038522,0.04731373534542653
"[""10::10::1996""]",7,0.026741220426064007,0.0485662367786378
"[""10::10::1997""]",7,0.02303249272834641,0.03660394876477751
"[""10::10::1998""]",7,0.026255788233312167,0.03409820094138553
"[""10::10::1999""]",7,0.02749314202625639,0.033048849076477524
"[""10::10::2000""]",7,0.019650839589294273,0.04845785060293078
"[""10::10::2001""]",7,0.023116151996382443,0.05976052605186847
"[""10::10::2002""]",7,0.029592889365860717,0.07051886911961332
