geometry,component,eigenvalue,explained_variance_ratio,cumulative_explained_variance
pooled_diagnostic,30,4.61975949539956e-08,2.538962075917019e-07,0.9999998012648246
pooled_diagnostic,31,3.6160788853794746e-08,1.9873517577366233e-07,1.0000000000000004
within_site_primary,1,0.15975875484661858,0.9450857413630573,0.9450857413630573
within_site_primary,2,0.006996289619476881,0.0413879888345532,0.9864737301976105
within_site_primary,3,0.0014951136640089385,0.008844652093893257,0.9953183822915038
within_site_primary,4,0.0004062790030059354,0.0024034269240815584,0.9977218092155854
within_site_primary,5,0.0002271431692740207,0.0013437120909898976,0.9990655213065753
within_site_primary,6,5.468919675902504e-05,0.0003235251809090278,0.9993890464874844
within_site_primary,7,4.131920681994467e-05,0.0002444322581723441,0.9996334787456568
within_site_primary,8,2.5608822726357184e-05,0.0001514942529128422,0.9997849729985695
within_site_primary,9,1.2580215534820963e-05,7.442084996623876e-05,0.9998593938485357
within_site_primary,10,6.292411728481549e-06,3.722405453825088e-05,0.9998966179030739
within_site_primary,11,4.297193134972901e-06,2.542092897284536e-05,0.9999220388320468
within_site_primary,12,3.4910897912090742e-06,2.0652259005508035e-05,0.9999426910910523
within_site_primary,13,2.5133140724239217e-06,1.4868025828665515e-05,0.9999575591168809
within_site_primary,14,1.5480938974309924e-06,9.15806755102637e-06,0.9999667171844319
within_site_primary,15,1.0456906627232823e-06,6.18599798280274e-06,0.9999729031824147
within_site_primary,16,9.506216659698927e-07,5.623597797826455e-06,0.9999785267802126
within_site_primary,17,7.655974211758412e-07,4.529048859151955e-06,0.9999830558290718
within_site_primary,18,5.571091357186135e-07,3.295693566567016e-06,0.9999863515226384
within_site_primary,19,4.4097529900305733e-07,2.608679992412456e-06,0.9999889602026308
within_site_primary,20,3.2138857614734563e-07,1.901240160800242e-06,0.9999908614427916
within_site_primary,21,2.99767684771072e-07,1.7733373352249324e-06,0.9999926347801268
within_site_primary,22,2.3991134091091477e-07,1.4192448338989802e-06,0.9999940540249607
within_site_primary,23,2.2257793028086742e-07,1.3167054816651935e-06,0.9999953707304423
within_site_primary,24,1.7121545630155122e-07,1.0128602129311763e-06,0.9999963835906553
within_site_primary,25,1.5935419031342304e-07,9.426924567374267e-07,0.9999973262831121
within_site_primary,26,1.1976144887928446e-07,7.084734593071854e-07,0.9999980347565715
within_site_primary,27,1.0133441022054724e-07,5.994645257520991e-07,0.9999986342210972
within_site_primary,28,8.295153783760952e-08,4.907168668767464e-07,0.9999991249379642
within_site_primary,29,6.771151025799661e-08,4.0056135222404346e-07,0.9999995254993164
within_site_primary,30,4.501497583708564e-08,2.662953391961333e-07,0.9999997917946556
within_site_primary,31,3.5195353354965126e-08,2.082053446770214e-07,1.0000000000000002
body_site_1,1,0.14952224062330163,0.9573300772973709,0.9573300772973709
body_site_1,2,0.005062203800955604,0.03241123150550647,0.9897413088028774
body_site_1,3,0.0010553169898146928,0.006756765356250854,0.9964980741591282
body_site_1,4,0.00033060319421714384,0.0021167177548657803,0.9986147919139939
body_site_1,5,0.000133616915637309,0.0008554947520988853,0.9994702866660928
body_site_1,6,2.510865924513963e-05,0.00016076053031161496,0.9996310471964045
body_site_1,7,1.956679041703499e-05,0.00012527819877708799,0.9997563253951816
body_site_1,8,1.4744752563425063e-05,9.440465212687924e-05,0.9998507300473085
