body_site,rows,subjects,eligible
1,1716,1715,True
10,1632,1630,True
11,778,777,True
12,243,243,True
2,2511,2096,True
3,232,232,True
4,2072,2071,True
5,480,479,True
6,2092,2090,True
7,1692,1690,True
8,1162,876,True
9,646,644,True
