acquisition_order,canonical_key,title,source_text_path,source_text_sha256,source_word_count,review_packet_path,review_packet_sha256,review_packet_line_count,review_packet_word_count,word_count_delta,segmentation_mode,section_index_path,section_index_sha256,detected_section_count,evidence_record_path,record_state
3,doi:10.1038/s41597-025-04382-5,Investigating the Quality of DermaMNIST and Fitzpatrick17k Dermatological Image Datasets.,analysis/prior_art/ingestion/scientific_sources/paper-010/source.txt,c0e6b5151db0d416cdd2f5cab020a0711a06cc62635fdb5dafa89e479b52c35e,19107,analysis/prior_art/scientific_extraction/review_packets/paper-03-full-text-review.txt,c2b291995de93f68a1f0cc0467ef00c7735d6b727313ef0f8b4f1bdc4fbbb23a,1270,19110,3,FLATTENED_TEXT_SEGMENTATION,analysis/prior_art/scientific_extraction/review_packets/paper-03-section-index.json,ca1b8bc8cfccac0bef8992802df68f483dbe60648b79785416756001640803a1,202,analysis/prior_art/scientific_extraction/p1/paper-03-scientific-evidence.json,SOURCE_PACKET_READY
4,doi:10.1117/1.jbo.28.3.035001,Deep learning-based optical approach for skin analysis of melanin and hemoglobin distribution.,analysis/prior_art/ingestion/scientific_sources/paper-001/source.txt,35f7aadab4e72fe854a558381a0730314032cada126322724786f9f07cbd34ab,6773,analysis/prior_art/scientific_extraction/review_packets/paper-04-full-text-review.txt,40320319666e2f3a14befa4704c0d755c12f85793c71b848e9bd30f81a4d7846,577,6773,0,FLATTENED_TEXT_SEGMENTATION,analysis/prior_art/scientific_extraction/review_packets/paper-04-section-index.json,075f0b122926fb6eb140d4d65819468f67f2286f3cd23ef6d8b3ae1bd9b51b6b,44,analysis/prior_art/scientific_extraction/p1/paper-04-scientific-evidence.json,SOURCE_PACKET_READY
6,doi:10.1109/cvprw50498.2020.00239,Adaptive Weighted Attention Network with Camera Spectral Sensitivity Prior for Spectral Reconstruction from RGB Images,analysis/prior_art/ingestion/scientific_sources/paper-012/source.txt,a5fbda57a2206eb39a17b04ae1f417af52d8a2a7c3a84ecc85792eb6453508fc,5856,analysis/prior_art/scientific_extraction/review_packets/paper-06-full-text-review.txt,248abe156926c9d3774bf720e89d0e80577695758751fc468ff2a0b952665364,468,5856,0,PHYSICAL_LINES,analysis/prior_art/scientific_extraction/review_packets/paper-06-section-index.json,e792bb47b74960b8de5bc1e86089ac10c011148d557038a7c928c8443d75b9e7,11,analysis/prior_art/scientific_extraction/p1/paper-06-scientific-evidence.json,SOURCE_PACKET_READY
11,doi:10.3390/curroncol30030241,Validity of a Self-Assessment Skin Tone Palette Compared to a Colorimeter for Characterizing Skin Color for Skin Cancer Research.,analysis/prior_art/ingestion/scientific_sources/paper-016/source.txt,45f7df90062955abed5df6731ad5e11ca94b8b4adacf672f97763bde8233b158,7882,analysis/prior_art/scientific_extraction/review_packets/paper-11-full-text-review.txt,b09f442773e02c76c6bb132a1b1717fdd303a14f2f8628c7c7473bd7378f135c,599,7882,0,FLATTENED_TEXT_SEGMENTATION,analysis/prior_art/scientific_extraction/review_packets/paper-11-section-index.json,8a17bfb07bd3311bb2346671a0de688305d0d6e9a3e5aac9ca37ccf332ac9361,65,analysis/prior_art/scientific_extraction/p1/paper-11-scientific-evidence.json,SOURCE_PACKET_READY
14,doi:10.2196/31697,Performance of Artificial Intelligence Imaging Models in Detecting Dermatological Manifestations in Higher Fitzpatrick Skin Color Classifications,analysis/prior_art/ingestion/scientific_sources/paper-018/source.txt,f196f75338eac8693f872f9494b3004c7d28e6e6dd78d3c482183ebdce950a64,2067,analysis/prior_art/scientific_extraction/review_packets/paper-14-full-text-review.txt,ae713c492256f8c4a426f75b81905215bfaa04cda1cc1ef7c8e3a32c4287e0a1,79,2067,0,FLATTENED_TEXT_SEGMENTATION,analysis/prior_art/scientific_extraction/review_packets/paper-14-section-index.json,e27e7995ddf78c369931c836974e45dc3ac2abb6ac2bd2b7ca21f65a269c6ef3,12,analysis/prior_art/scientific_extraction/p1/paper-14-scientific-evidence.json,SOURCE_PACKET_READY
16,doi:10.35772/ghm.2026.01058,Artificial intelligence (AI)-assisted diagnosis of skin diseases: From image classification to dermatology-specific multimodal clinical reasoning.,analysis/prior_art/ingestion/scientific_sources/paper-019/source.txt,10a6fc493acbbba96949972708ddfd6d7780d7426409890556bbc8aae33380c2,7994,analysis/prior_art/scientific_extraction/review_packets/paper-16-full-text-review.txt,94de397a447fe01e2efa522db6dfa800932d04b1045f961c3287b6b848f85db9,661,7994,0,PHYSICAL_LINES,analysis/prior_art/scientific_extraction/review_packets/paper-16-section-index.json,4a39a3a42e796592cdbd04248322e6bbf5c051712d48357eecdb9ec9e56cdc28,7,analysis/prior_art/scientific_extraction/p1/paper-16-scientific-evidence.json,SOURCE_PACKET_READY
